iter	Logloss
0	0.6882356884
1	0.6830207939
2	0.6791955156
3	0.6749695675
4	0.6702398523
5	0.665557682
6	0.6620327485
7	0.6577311029
8	0.6541065311
9	0.6507323711
10	0.6474415742
11	0.6447121482
12	0.6419052876
13	0.6387185044
14	0.635617005
15	0.6335811337
16	0.6304387722
17	0.6284043372
18	0.6261089494
19	0.6230620766
20	0.6208749915
21	0.6186270561
22	0.61667142
23	0.614874945
24	0.6129266493
25	0.6103294999
26	0.6076998798
27	0.6051117074
28	0.6034310668
29	0.6017234179
30	0.5993219558
31	0.597693684
32	0.5956943025
33	0.5938077147
34	0.5924946923
35	0.5907866115
36	0.5890659631
37	0.5871566416
38	0.5852833755
39	0.583906679
40	0.5825861789
41	0.581242107
42	0.5805023059
43	0.5787408621
44	0.5775064325
45	0.5764231265
46	0.575625362
47	0.57480063
48	0.57322113
49	0.5723800767
50	0.5712023981
51	0.5693284347
52	0.5681205079
53	0.5662401302
54	0.5653138913
55	0.5635876131
56	0.562947394
57	0.5625264627
58	0.5616483498
59	0.5599794953
60	0.5581535451
61	0.5572062715
62	0.5568673688
63	0.5555891841
64	0.5550884132
65	0.5541573437
66	0.5532388464
67	0.5525747532
68	0.5516053131
69	0.5502227864
70	0.5486718615
71	0.5481380968
72	0.5471985321
73	0.5463876449
74	0.5459707467
75	0.5451314017
76	0.5443476654
77	0.543206391
78	0.5421263546
79	0.5416097928
80	0.5409440116
81	0.5396995005
82	0.538655774
83	0.5378458764
84	0.5370679366
85	0.5365175386
86	0.5358025224
87	0.535196351
88	0.5344600024
89	0.5337504778
90	0.5330759861
91	0.5316896018
92	0.530918068
93	0.5303413656
94	0.5296476306
95	0.5287853215
96	0.5281873208
97	0.5270706788
98	0.5256410163
99	0.5247010865
100	0.5238380275
101	0.5225025245
102	0.5216945589
103	0.5202254046
104	0.5199284965
105	0.519453823
106	0.5186470214
107	0.5175834952
108	0.5166046422
109	0.5155846839
110	0.5146569369
111	0.5140722829
112	0.513022154
113	0.5125134095
114	0.5119485693
115	0.5114831152
116	0.5106293535
117	0.509638546
118	0.5084887818
119	0.5075539205
120	0.5070194256
121	0.5059969083
122	0.5057519266
123	0.5050579615
124	0.5040435452
125	0.5034867363
126	0.5026775874
127	0.5016040051
128	0.5010503372
129	0.5005618965
130	0.4995789612
131	0.4985058717
132	0.4972778823
133	0.4969195634
134	0.4961852423
135	0.4957934672
136	0.494908075
137	0.4944169362
138	0.4936957011
139	0.4928776022
140	0.4918649668
141	0.4915309437
142	0.491278914
143	0.4908310808
144	0.4898028747
145	0.4892293651
146	0.4882129145
147	0.4877241328
148	0.4873122957
149	0.4863913398
150	0.4849798536
151	0.484601539
152	0.4838865862
153	0.4831462842
154	0.4823588021
155	0.4814224884
156	0.4809048475
157	0.480288895
158	0.4794813133
159	0.4791384346
160	0.478232934
161	0.4777597682
162	0.4770177243
163	0.4761936505
164	0.4753882712
165	0.4746866837
166	0.4734886602
167	0.4730569186
168	0.4721887384
169	0.472003241
170	0.4715568427
171	0.4710321665
172	0.4707094996
173	0.4699176332
174	0.4691427601
175	0.4687997271
176	0.4676676489
177	0.4666255734
178	0.4657415828
179	0.464765456
180	0.4640202108
181	0.4633975527
182	0.4630155363
183	0.4616863967
184	0.4612337833
185	0.4607188028
186	0.4598405715
187	0.4587905735
188	0.4582318175
189	0.4569011121
190	0.4562451704
191	0.4555798564
192	0.4547463046
193	0.4540217831
194	0.4531876461
195	0.4529527161
196	0.4518247402
197	0.4513528515
198	0.4504320262
199	0.4490478409
200	0.4477864115
201	0.4464123252
202	0.4461929146
203	0.4449807906
204	0.4436602837
205	0.4431046919
206	0.4423977918
207	0.4409657558
208	0.4405522587
209	0.4392586783
210	0.4388691556
211	0.4384726477
212	0.4377671787
213	0.4368811668
214	0.4358076846
215	0.4351331382
216	0.433831881
217	0.4325060095
218	0.4321270004
219	0.431425843
220	0.4310169371
221	0.4302423491
222	0.4298464612
223	0.4292121197
224	0.4286975423
225	0.4280749767
226	0.4273461041
227	0.4268270689
228	0.4260505817
229	0.4247900281
230	0.4244513729
231	0.4231146881
232	0.4226721344
233	0.4221310895
234	0.4215392547
235	0.4207408628
236	0.4198956381
237	0.4189791629
238	0.4182822381
239	0.4170999589
240	0.4165836823
241	0.4158272302
242	0.4153131736
243	0.414452024
244	0.4139685113
245	0.4130314976
246	0.4123635884
247	0.411686955
248	0.4109190513
249	0.410462315
250	0.4103540739
251	0.4098991614
252	0.409133882
253	0.4078403725
254	0.4072632477
255	0.4067947825
256	0.4057752832
257	0.4050230254
258	0.4045979072
259	0.4040942898
260	0.4037946765
261	0.4032036269
262	0.4019371578
263	0.4013655557
264	0.4007618773
265	0.3998575726
266	0.3991010944
267	0.3985414336
268	0.3976534925
269	0.3962218865
270	0.3956056475
271	0.3945030468
272	0.3936632896
273	0.3928254882
274	0.3920394024
275	0.3906309236
276	0.3900390792
277	0.389251743
278	0.389037812
279	0.3882405347
280	0.3870668446
281	0.3868525591
282	0.3863203931
283	0.3856142596
284	0.3849998533
285	0.3843963796
286	0.3836120726
287	0.3825977815
288	0.3818444067
289	0.3811493599
290	0.3805946943
291	0.3799756641
292	0.3794419148
293	0.3790305372
294	0.3781951761
295	0.3773274301
296	0.3766271636
297	0.3762907929
298	0.3758386547
299	0.3752147881
